From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),AT (degree C)
2021-01-01 08:00:00,367.54,570.11,63.83,19.49,83.32,27.77503817202344,12.562969638194955,3.87,6.69,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-01-01 09:00:00,379.28,678.34,24.41,38.25,62.69,27.77503817202344,12.562969638194955,3.98,7.56,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-01-01 10:00:00,387.36,587.79,10.81,73.5,84.32,27.77503817202344,12.562969638194955,3.74,16.36,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-01-01 11:00:00,301.8,526.16,6.45,31.72,38.17,27.77503817202344,12.562969638194955,3.3,27.55,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-01-01 12:00:00,236.6,397.11,5.4,28.25,33.64,27.77503817202344,12.562969638194955,3.11,37.27,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-01-01 13:00:00,276.01,467.25,5.27,28.56,33.83,27.77503817202344,12.562969638194955,3.02,39.52,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-01-01 14:00:00,273.96,372.52,5.11,21.86,26.97,27.77503817202344,12.562969638194955,2.8,39.41,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-01-01 15:00:00,194.99,296.94,5.06,20.21,25.27,27.77503817202344,12.562969638194955,2.6,36.39,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-01-01 16:00:00,123.4,226.81,5.01,18.4,23.41,27.77503817202344,12.562969638194955,2.42,30.46,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-01-02 08:00:00,296.33,446.89,10.41,22.71,33.12,27.77503817202344,12.562969638194955,2.78,8.86,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-01-02 09:00:00,261.53,403.13,12.87,25.61,38.47,27.77503817202344,12.562969638194955,2.8,7.61,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-01-02 10:00:00,250.08,354.64,11.81,28.1,39.92,27.77503817202344,12.562969638194955,2.75,8.16,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
