From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),RF (mm),AT (degree C)
2021-01-01 08:00:00,399.0,531.0,383.73,27.65,353.85,36.35,22.25,4.08,12.23,27.454442202523524,90.28,0.62,180.11274390508322,32.5,996.88,0.0,15.07
2021-01-01 09:00:00,501.0,699.0,333.65,53.25,300.45,49.03,24.77,4.23,34.55,27.454442202523524,87.58,0.67,180.11274390508322,65.15,997.57,0.0,16.32
2021-01-01 10:00:00,797.25,,177.65,137.15,217.77,48.35,24.73,3.4,48.82,27.454442202523524,77.5,0.75,180.11274390508322,84.8,997.52,0.0,18.38
2021-01-01 11:00:00,752.25,929.0,38.95,115.08,92.88,47.48,26.95,1.73,52.8,27.454442202523524,66.15,1.07,180.11274390508322,110.12,996.88,0.0,20.25
2021-01-01 12:00:00,634.25,832.25,15.32,63.85,46.42,43.05,29.07,1.2,96.9,27.454442202523524,54.33,1.18,180.11274390508322,185.08,995.75,0.0,21.55
2021-01-01 13:00:00,405.0,493.0,11.88,45.63,33.98,39.85,20.58,0.55,109.93,27.454442202523524,48.2,1.23,180.11274390508322,195.8,994.97,0.0,22.08
2021-01-01 14:00:00,293.5,374.5,12.6,47.6,35.53,44.72,20.52,0.95,108.08,27.454442202523524,53.27,1.3,180.11274390508322,118.12,994.17,0.0,22.05
2021-01-01 15:00:00,338.5,448.0,12.67,45.35,34.58,45.65,23.35,0.53,97.15,27.454442202523524,51.67,1.1,180.11274390508322,59.4,993.65,0.0,21.52
2021-01-01 16:00:00,271.5,393.5,12.65,42.3,32.8,42.38,22.57,0.38,61.6,27.454442202523524,53.05,0.8,180.11274390508322,24.75,993.52,0.0,20.92
2021-01-02 08:00:00,351.25,519.0,91.12,39.53,95.33,52.35,17.18,1.4,13.28,27.454442202523524,78.2,0.78,180.11274390508322,10.4,995.78,0.0,18.3
2021-01-02 09:00:00,347.0,470.0,60.65,39.67,70.6,51.8,16.05,1.15,12.37,27.454442202523524,81.33,0.53,180.11274390508322,26.38,996.22,0.0,18.35
2021-01-02 10:00:00,326.75,412.75,56.5,50.17,72.7,48.45,15.9,1.57,12.62,27.454442202523524,79.83,0.72,180.11274390508322,34.7,996.3,0.0,18.93
2021-01-02 11:00:00,346.5,450.75,35.9,60.17,61.25,58.55,16.9,1.57,19.2,27.454442202523524,71.3,0.45,180.11274390508322,70.03,996.25,0.0,19.98
2021-01-02 12:00:00,371.5,484.5,19.9,60.05,48.17,,20.03,1.05,41.2,27.454442202523524,62.95,0.97,180.11274390508322,113.6,995.1,0.0,21.17
