From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),RF (mm),AT (degree C)
2021-01-01 08:00:00,,140.49608856510423,,,,27.77503817202344,,,,,,,,,,,
2021-01-01 09:00:00,,140.49608856510423,,,,27.77503817202344,,,,,,,,,,,
2021-01-01 10:00:00,,140.49608856510423,52.15,182.74,86.3,27.77503817202344,19.65,3.61,18.03,28.9,64.0,1.6,101.0,203.0,741.0,0.0,12.4
2021-01-01 11:00:00,634.5,140.49608856510423,45.76,203.98,88.02,27.77503817202344,18.34,3.47,31.12,32.78,60.75,1.73,124.0,253.0,740.25,0.0,13.6
2021-01-01 12:00:00,610.25,140.49608856510423,9.56,150.87,49.02,27.77503817202344,9.89,2.84,65.95,33.95,57.5,2.32,119.75,242.75,739.25,0.0,14.55
2021-01-01 13:00:00,412.25,140.49608856510423,2.89,75.01,23.15,27.77503817202344,1.7,1.64,89.08,29.95,52.5,2.08,123.75,341.0,738.25,0.0,15.55
2021-01-01 14:00:00,223.25,140.49608856510423,1.54,70.83,21.05,27.77503817202344,5.37,1.34,96.92,33.7,44.75,2.1,111.75,309.75,737.75,0.0,16.65
2021-01-01 15:00:00,164.67,140.49608856510423,0.61,66.24,19.17,27.77503817202344,3.01,1.18,104.79,29.53,42.67,1.83,112.33,219.0,737.0,0.0,16.73
2021-01-01 16:00:00,136.25,140.49608856510423,3.11,77.69,24.02,27.77503817202344,0.79,1.15,90.31,29.02,42.0,1.85,112.25,102.0,737.0,0.0,16.12
2021-01-02 08:00:00,403.25,140.49608856510423,19.25,100.2,41.08,27.77503817202344,7.21,2.56,25.09,29.73,62.25,1.77,145.5,50.5,739.25,0.0,12.57
2021-01-02 09:00:00,380.75,140.49608856510423,21.83,104.62,44.0,27.77503817202344,7.07,2.5,40.67,29.52,56.75,2.25,123.25,116.25,739.0,0.0,14.0
2021-01-02 10:00:00,330.25,140.49608856510423,15.83,77.27,32.3,27.77503817202344,5.5,2.12,58.31,29.25,54.25,1.82,116.0,141.75,740.0,0.0,14.93
2021-01-02 11:00:00,296.5,140.49608856510423,14.61,70.59,29.62,27.77503817202344,4.78,1.91,67.38,29.05,50.25,2.02,133.5,196.25,739.5,0.0,16.05
2021-01-02 12:00:00,251.67,140.49608856510423,11.89,68.24,27.17,27.77503817202344,4.8,1.71,74.87,28.87,43.67,1.9,118.33,204.0,738.67,0.0,17.2
2021-01-02 13:00:00,210.75,140.49608856510423,10.64,64.25,25.2,27.77503817202344,4.72,1.54,78.16,28.75,41.5,2.35,106.5,183.75,737.25,0.0,17.7
2021-01-02 14:00:00,177.0,140.49608856510423,10.98,75.72,28.7,27.77503817202344,4.19,1.64,71.98,28.83,47.0,2.1,107.0,132.75,736.0,0.0,17.25
2021-01-02 15:00:00,192.5,140.49608856510423,10.85,72.76,27.75,27.77503817202344,4.85,1.52,73.89,29.2,44.5,2.62,110.25,109.5,735.25,0.0,17.57
2021-01-02 16:00:00,162.5,140.49608856510423,11.07,85.02,31.38,27.77503817202344,5.11,1.67,65.12,28.4,47.5,1.7,110.5,55.0,735.0,0.0,17.4
2021-01-03 08:00:00,212.0,140.49608856510423,23.82,86.23,40.13,27.77503817202344,8.73,1.65,16.27,28.97,66.0,1.8,149.33,42.0,736.67,0.0,13.73
2021-01-03 09:00:00,186.25,140.49608856510423,24.05,84.69,39.85,27.77503817202344,9.43,1.58,30.87,28.93,64.0,2.52,105.0,34.25,737.0,0.0,14.45
2021-01-03 10:00:00,164.75,140.49608856510423,21.94,80.65,37.33,27.77503817202344,8.56,1.76,25.43,28.95,70.0,1.7,131.75,31.0,737.0,0.0,14.08
2021-01-03 11:00:00,193.25,140.49608856510423,34.19,103.21,51.83,27.77503817202344,10.41,2.02,12.2,28.92,71.5,1.6,140.0,31.0,737.0,0.12,14.17
2021-01-03 12:00:00,203.25,140.49608856510423,32.07,82.63,44.55,27.77503817202344,12.45,1.87,15.24,28.95,72.5,1.53,115.75,29.25,736.25,0.0,14.1
2021-01-03 13:00:00,179.25,140.49608856510423,27.15,66.22,36.65,27.77503817202344,14.08,1.87,21.17,28.98,74.5,2.38,114.75,34.0,735.25,0.0,14.32
2021-01-03 14:00:00,143.0,140.49608856510423,27.86,55.55,34.12,27.77503817202344,18.67,1.74,33.66,28.85,76.75,4.1,100.75,92.0,734.25,0.12,15.27
2021-01-03 15:00:00,95.0,140.49608856510423,29.03,51.26,33.63,27.77503817202344,18.86,0.01,42.86,28.63,73.0,3.23,95.67,105.0,733.0,0.0,16.4
2021-01-03 16:00:00,62.0,140.49608856510423,31.86,52.83,35.98,27.77503817202344,17.29,0.02,30.67,29.17,71.75,2.95,102.25,47.5,734.0,0.0,16.55
2021-01-04 08:00:00,92.5,140.49608856510423,75.46,54.19,65.22,27.77503817202344,7.47,1.7,4.26,28.85,82.75,0.73,163.0,39.75,738.5,0.0,14.5
2021-01-04 09:00:00,134.0,140.49608856510423,104.3,69.94,88.7,27.77503817202344,8.25,2.19,10.04,28.75,82.75,0.93,178.75,67.25,739.0,0.0,15.0
2021-01-04 10:00:00,195.25,140.49608856510423,52.77,141.94,75.13,27.77503817202344,8.73,2.88,9.02,28.92,78.75,1.7,129.5,179.25,738.5,0.0,15.9
2021-01-04 11:00:00,221.0,140.49608856510423,9.56,62.27,23.95,27.77503817202344,4.45,1.21,20.09,29.9,69.0,1.32,138.25,236.5,737.25,0.0,17.9
2021-01-04 12:00:00,90.25,140.49608856510423,3.91,41.12,14.22,27.77503817202344,6.48,0.95,39.05,30.73,60.75,0.9,185.25,264.5,736.75,0.0,19.88
2021-01-04 13:00:00,72.75,140.49608856510423,2.86,62.04,19.45,27.77503817202344,15.39,1.14,59.58,31.38,58.75,1.15,147.75,187.25,736.0,0.0,20.2
2021-01-04 14:00:00,89.25,140.49608856510423,3.23,63.12,20.02,27.77503817202344,12.77,1.14,53.36,31.4,60.5,1.1,141.75,140.0,735.25,0.0,19.77
2021-01-04 15:00:00,87.75,140.49608856510423,7.01,92.87,30.88,27.77503817202344,8.65,1.45,29.6,31.38,63.5,1.15,178.0,29.0,735.25,0.0,19.07
2021-01-04 16:00:00,105.25,140.49608856510423,31.24,127.84,56.8,27.77503817202344,9.63,2.48,9.26,30.45,68.75,1.77,138.75,28.0,735.0,0.0,18.32
2021-01-05 08:00:00,34.0,140.49608856510423,39.85,51.09,40.8,27.77503817202344,13.23,0.87,21.95,28.75,64.0,2.82,174.75,55.5,737.5,0.0,16.65
2021-01-05 09:00:00,55.75,140.49608856510423,43.54,63.26,46.65,27.77503817202344,13.1,1.15,14.46,28.87,62.0,1.77,113.0,103.75,739.0,0.0,17.82
2021-01-05 10:00:00,82.0,140.49608856510423,30.67,71.88,40.63,27.77503817202344,15.98,1.18,21.56,29.15,58.25,1.8,122.25,184.0,739.0,0.0,19.2
2021-01-05 11:00:00,71.75,140.49608856510423,5.26,52.78,18.45,27.77503817202344,19.85,0.91,46.94,31.62,54.75,2.33,100.0,279.0,737.75,0.0,19.93
2021-01-05 12:00:00,66.75,140.49608856510423,3.51,48.08,15.93,27.77503817202344,21.68,0.95,56.25,32.65,55.75,2.02,111.75,184.5,736.5,0.0,20.08
2021-01-05 13:00:00,66.25,140.49608856510423,2.61,53.25,16.77,27.77503817202344,17.03,1.04,60.91,32.1,57.0,1.53,119.25,119.0,736.0,0.0,19.97
2021-01-05 14:00:00,77.0,140.49608856510423,7.5,84.6,28.88,27.77503817202344,14.74,1.43,38.86,31.25,61.75,0.9,137.75,118.75,735.5,0.0,19.27
2021-01-05 15:00:00,93.75,140.49608856510423,9.41,110.45,37.5,27.77503817202344,10.68,1.8,39.25,30.27,64.0,1.7,173.75,138.25,735.0,0.0,19.62
2021-01-05 16:00:00,142.75,140.49608856510423,17.04,131.55,48.45,27.77503817202344,11.27,2.12,30.23,28.95,66.0,1.55,163.75,63.5,734.75,0.0,19.48
2021-01-06 08:00:00,198.0,140.49608856510423,79.83,70.64,72.75,27.77503817202344,15.65,2.6,7.59,29.15,75.0,1.55,127.25,48.5,736.25,0.0,16.58
2021-01-06 09:00:00,196.5,140.49608856510423,65.56,65.89,62.0,27.77503817202344,14.93,2.31,7.45,29.08,73.25,1.48,106.25,81.0,737.0,0.0,17.0
2021-01-06 10:00:00,187.5,140.49608856510423,53.79,62.23,53.17,27.77503817202344,13.71,3.68,12.74,28.93,69.5,1.45,115.75,161.0,737.25,0.0,18.0
2021-01-06 11:00:00,181.25,140.49608856510423,13.13,68.95,28.2,27.77503817202344,23.12,4.09,27.39,30.65,63.5,1.7,102.75,180.5,737.0,0.0,19.25
2021-01-06 12:00:00,162.75,140.49608856510423,5.6,59.22,20.48,27.77503817202344,12.31,5.08,38.95,33.45,63.0,2.58,100.25,147.0,736.0,0.0,19.25
2021-01-06 13:00:00,119.75,140.49608856510423,5.6,63.17,21.57,27.77503817202344,9.17,4.98,40.38,35.77,62.25,1.95,103.0,128.0,735.25,0.0,19.52
2021-01-06 14:00:00,110.0,140.49608856510423,13.19,58.84,25.35,27.77503817202344,6.09,5.11,51.65,32.67,61.5,1.3,113.75,123.5,734.25,0.0,19.82
2021-01-06 15:00:00,110.0,140.49608856510423,15.99,50.26,24.77,27.77503817202344,8.03,5.31,58.54,31.8,60.0,1.1,167.0,89.0,734.0,0.0,19.93
2021-01-06 16:00:00,113.5,140.49608856510423,20.79,81.73,36.85,27.77503817202344,8.91,5.8,36.65,29.95,62.5,2.3,222.75,69.0,734.0,0.0,19.4
2021-01-07 08:00:00,120.25,140.49608856510423,38.22,51.94,39.95,27.77503817202344,11.4,2.12,11.52,28.7,71.5,1.1,268.5,72.0,736.75,0.0,15.88
2021-01-07 09:00:00,123.5,140.49608856510423,39.36,54.61,41.5,27.77503817202344,11.79,2.2,21.85,28.55,67.5,1.75,265.0,120.0,737.25,0.0,16.77
2021-01-07 10:00:00,111.25,140.49608856510423,15.13,53.33,25.07,27.77503817202344,6.99,2.07,30.53,29.3,63.75,2.27,268.5,184.0,737.25,0.0,17.5
2021-01-07 11:00:00,110.75,140.49608856510423,7.63,64.58,23.3,27.77503817202344,3.93,2.15,47.04,30.73,58.0,1.73,196.0,267.75,736.75,0.0,18.7
2021-01-07 12:00:00,125.25,140.49608856510423,10.33,88.88,31.98,27.77503817202344,10.74,2.16,50.22,31.23,55.25,1.5,189.5,223.5,735.75,0.0,19.43
2021-01-07 13:00:00,126.75,140.49608856510423,6.58,85.68,28.57,27.77503817202344,13.89,2.02,66.93,31.48,54.5,1.48,206.5,219.75,734.75,0.0,19.28
2021-01-07 14:00:00,128.25,140.49608856510423,5.04,88.08,28.25,27.77503817202344,13.76,2.08,82.86,31.52,53.0,1.73,147.75,237.25,734.0,0.0,19.65
2021-01-07 15:00:00,123.75,140.49608856510423,3.63,89.25,27.7,27.77503817202344,11.13,2.05,84.48,31.52,54.0,1.75,212.75,136.25,734.0,0.0,19.12
2021-01-07 16:00:00,117.0,140.49608856510423,5.12,96.95,30.83,27.77503817202344,4.8,2.1,66.57,31.33,57.0,2.17,206.67,99.0,734.0,0.0,18.47
2021-01-08 08:00:00,,140.49608856510423,,,,27.77503817202344,,,,,,,,,,,
2021-01-08 09:00:00,,140.49608856510423,,,,27.77503817202344,,,,,,,,,,,
2021-01-08 10:00:00,177.25,140.49608856510423,15.58,78.33,32.47,27.77503817202344,13.01,1.31,18.03,28.23,66.5,1.15,218.0,80.25,737.0,0.0,14.3
2021-01-08 11:00:00,181.0,140.49608856510423,15.01,77.55,31.9,27.77503817202344,11.4,1.32,19.11,28.3,66.5,1.4,144.0,97.0,737.0,0.0,14.4
2021-01-08 12:00:00,,140.49608856510423,,17.11,0.5,27.77503817202344,,0.0,8.62,24.9,63.0,2.0,229.0,175.0,736.0,0.0,15.4
2021-01-08 13:00:00,,140.49608856510423,13.04,94.69,30.3,27.77503817202344,15.2,1.1,28.22,26.47,61.67,2.1,250.0,249.67,735.0,0.0,15.97
2021-01-08 14:00:00,177.0,140.49608856510423,16.61,98.51,38.85,27.77503817202344,13.36,1.46,33.61,29.85,60.5,1.8,242.0,167.0,734.5,0.0,16.4
2021-01-08 15:00:00,192.0,140.49608856510423,18.33,144.05,52.88,27.77503817202344,19.0,1.6,25.43,31.0,60.25,1.42,136.0,117.5,734.0,0.0,16.62
2021-01-08 16:00:00,255.0,140.49608856510423,17.07,166.99,58.55,27.77503817202344,22.4,1.77,18.91,34.92,61.25,1.27,140.25,47.5,734.0,0.0,16.43
2021-01-09 08:00:00,160.75,140.49608856510423,44.56,68.67,48.85,27.77503817202344,21.42,1.58,9.95,29.62,69.25,1.97,265.75,66.75,736.5,0.0,14.38
2021-01-09 09:00:00,166.25,140.49608856510423,44.22,69.18,48.85,27.77503817202344,22.53,1.63,16.91,29.38,64.75,2.12,265.25,129.5,737.0,0.0,15.78
2021-01-09 10:00:00,176.5,140.49608856510423,29.93,85.29,43.93,27.77503817202344,24.89,1.67,30.62,29.32,59.25,2.15,263.75,206.0,737.5,0.0,17.5
2021-01-09 11:00:00,174.25,140.49608856510423,7.32,82.2,28.08,27.77503817202344,33.67,1.55,57.57,31.45,53.0,2.58,260.5,276.0,737.0,0.0,18.88
2021-01-09 12:00:00,166.0,140.49608856510423,4.4,89.82,28.3,27.77503817202344,55.09,1.61,62.33,31.57,53.75,2.77,268.25,188.75,736.0,0.0,18.68
2021-01-09 13:00:00,172.0,140.49608856510423,9.59,92.12,32.35,27.77503817202344,20.44,1.7,64.19,29.0,54.0,3.0,274.0,235.5,735.0,0.0,18.9
