From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AT (degree C)
2021-01-01 08:00:00,39.25,140.49608856510423,9.05,25.05,19.68,27.77503817202344,7.17,0.78,63.74,4.38,95.0,0.99,248.68,427.7,742.0,
2021-01-01 09:00:00,42.46,140.49608856510423,9.24,25.0,19.16,27.77503817202344,6.19,0.91,56.46,5.68,95.0,1.03,79.46,478.0,742.5,
2021-01-01 10:00:00,75.31,140.49608856510423,9.19,24.59,20.16,27.77503817202344,7.36,0.93,64.34,6.81,95.0,1.31,22.22,543.7,743.5,
2021-01-01 11:00:00,118.23,140.49608856510423,9.16,24.48,19.13,27.77503817202344,7.38,0.81,75.37,8.19,95.0,1.31,97.71,524.9,743.5,
2021-01-01 12:00:00,156.04,140.49608856510423,9.02,25.57,20.16,27.77503817202344,7.87,0.6,70.1,10.56,95.0,1.62,32.27,478.02,742.5,
2021-01-01 13:00:00,166.57,140.49608856510423,9.06,24.45,19.82,27.77503817202344,9.13,0.73,78.17,12.64,87.31,1.78,37.39,424.93,741.25,
2021-01-01 14:00:00,173.56,140.49608856510423,9.09,24.61,19.77,27.77503817202344,7.77,0.4,76.54,13.5,77.01,1.86,53.18,364.7,740.0,
2021-01-01 15:00:00,175.34,140.49608856510423,9.23,23.93,20.76,27.77503817202344,8.9,0.55,73.14,13.51,74.12,1.3,44.93,339.97,739.25,
2021-01-01 16:00:00,174.94,140.49608856510423,9.05,23.96,19.55,27.77503817202344,8.25,0.41,69.63,13.06,77.3,1.57,80.62,308.35,739.0,
2021-01-02 08:00:00,52.16,140.49608856510423,8.95,24.87,19.23,27.77503817202344,7.52,0.04,68.88,9.88,92.72,1.23,131.57,299.8,739.75,
2021-01-02 09:00:00,70.84,140.49608856510423,9.61,25.31,19.59,27.77503817202344,7.88,0.04,77.64,10.11,94.33,1.36,106.97,287.95,739.75,
2021-01-02 10:00:00,85.75,140.49608856510423,9.5,25.12,20.13,27.77503817202344,7.1,0.05,70.0,10.21,95.0,0.89,179.21,290.65,740.0,
2021-01-02 11:00:00,109.82,140.49608856510423,9.05,24.17,19.26,27.77503817202344,6.92,0.1,90.51,10.3,95.0,1.46,246.09,306.93,740.0,
2021-01-02 12:00:00,123.47,140.49608856510423,8.89,23.49,19.55,27.77503817202344,7.4,0.15,75.22,11.51,91.78,1.94,250.97,326.5,740.25,
