From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),RF (mm),AT (degree C)
2021-01-01 08:00:00,101.6,123.53,7.46,31.75,21.0,69.93,4.58,0.93,5.83,3.58,,0.51,180.11274390508322,49.68,0.0,
2021-01-01 09:00:00,98.22,116.28,9.19,33.45,23.28,75.62,4.39,1.48,6.83,4.37,,0.58,180.11274390508322,101.97,0.12,
2021-01-01 10:00:00,94.65,109.72,12.04,33.56,25.64,61.1,1.93,1.52,17.06,5.57,,0.52,180.11274390508322,146.56,0.0,
2021-01-01 11:00:00,109.83,121.4,9.96,36.4,25.45,54.58,9.32,1.74,16.26,6.56,,0.51,180.11274390508322,152.01,0.0,
2021-01-01 12:00:00,126.38,131.05,9.01,36.21,24.58,58.5,8.06,1.61,18.05,7.63,,0.62,180.11274390508322,241.56,0.0,
2021-01-01 13:00:00,130.5,132.6,8.03,32.87,22.05,52.76,7.95,1.63,25.53,8.51,,0.86,180.11274390508322,250.33,0.0,
2021-01-01 14:00:00,145.93,151.0,7.43,35.14,22.74,59.66,7.54,1.19,22.21,8.72,,0.89,180.11274390508322,140.07,0.0,
2021-01-01 15:00:00,,,,,,,,,,,,,180.11274390508322,,0.0,
2021-01-01 16:00:00,144.1,156.8,8.06,94.11,17.31,28.59,,1.28,24.09,,,,180.11274390508322,,0.0,
2021-01-02 08:00:00,208.23,213.43,6.0,42.85,25.61,91.11,19.3,2.03,8.39,9.21,,0.73,180.11274390508322,40.2,0.62,
2021-01-02 09:00:00,210.0,214.85,6.66,40.12,24.73,92.37,24.27,2.06,9.66,10.01,,0.5,180.11274390508322,75.64,0.0,
2021-01-02 10:00:00,215.9,220.53,5.48,40.13,23.77,93.64,21.33,1.71,10.89,11.19,,0.67,180.11274390508322,76.84,0.0,
2021-01-02 11:00:00,219.1,223.5,4.92,33.71,19.96,67.93,24.63,0.86,13.73,12.33,99.65,1.33,180.11274390508322,176.21,0.0,
2021-01-02 12:00:00,,,5.16,32.59,19.59,64.46,31.54,1.24,17.54,14.83,93.04,1.08,180.11274390508322,271.21,0.0,
2021-01-02 13:00:00,,,5.51,30.48,18.77,67.0,35.13,1.02,19.09,15.06,79.96,1.67,180.11274390508322,267.56,0.0,
2021-01-02 14:00:00,192.0,196.47,5.28,35.7,21.3,87.24,39.18,1.97,18.28,14.64,75.98,1.34,180.11274390508322,128.0,0.0,
2021-01-02 15:00:00,178.25,182.07,5.49,36.85,22.07,93.93,61.86,1.7,17.6,15.23,64.17,0.88,180.11274390508322,81.08,0.0,
2021-01-02 16:00:00,143.75,156.97,4.31,38.06,21.75,85.56,24.86,1.43,16.15,14.96,63.12,0.63,180.11274390508322,26.81,0.0,
2021-01-03 08:00:00,191.4,220.8,5.82,37.02,22.42,80.26,31.88,1.41,11.4,13.7,69.84,1.62,180.11274390508322,10.12,0.0,
2021-01-03 09:00:00,165.85,194.25,5.5,33.67,20.43,86.08,36.78,1.61,15.4,14.69,83.44,1.67,180.11274390508322,38.27,0.0,
2021-01-03 10:00:00,156.5,172.7,4.43,28.43,16.81,80.9,32.79,1.33,16.96,15.61,98.94,1.85,180.11274390508322,105.11,0.0,
2021-01-03 11:00:00,,,4.5,21.85,13.43,62.77,29.06,2.0,18.7,16.66,99.13,2.1,180.11274390508322,174.71,0.0,
2021-01-03 12:00:00,97.4,100.3,4.67,20.59,12.91,62.14,28.78,1.51,18.36,17.72,99.13,2.34,180.11274390508322,220.47,0.0,
2021-01-03 13:00:00,81.8,97.7,5.82,20.61,13.86,67.59,31.8,1.78,18.34,18.23,99.13,2.44,180.11274390508322,200.04,0.0,
2021-01-03 14:00:00,76.3,90.42,5.42,24.38,15.5,81.98,26.46,1.38,16.95,18.54,99.13,2.3,180.11274390508322,137.02,0.0,
2021-01-03 15:00:00,72.25,86.62,5.64,24.54,15.76,88.93,26.17,1.61,16.36,18.38,99.2,2.26,180.11274390508322,152.75,0.0,
2021-01-03 16:00:00,63.27,78.98,4.74,24.39,14.96,81.46,23.06,2.66,14.93,18.02,99.55,1.99,180.11274390508322,80.55,0.0,
2021-01-04 08:00:00,44.4,49.4,6.82,32.1,20.66,84.97,18.23,1.42,5.4,13.55,,1.24,180.11274390508322,40.01,0.0,
2021-01-04 09:00:00,45.77,50.23,6.38,29.7,19.03,86.02,26.08,1.57,11.21,15.44,,1.27,180.11274390508322,138.22,0.0,
2021-01-04 10:00:00,47.3,52.52,6.01,24.85,16.22,63.28,16.62,1.47,27.62,17.45,99.69,1.41,180.11274390508322,339.94,0.0,
2021-01-04 11:00:00,46.52,53.27,5.46,20.87,13.7,62.5,42.16,1.99,37.09,19.71,99.51,0.72,180.11274390508322,476.05,0.0,
2021-01-04 12:00:00,48.65,54.95,5.72,20.19,13.55,59.58,26.84,1.53,43.76,20.68,99.21,1.05,180.11274390508322,522.52,0.0,
2021-01-04 13:00:00,50.55,54.05,4.81,21.89,13.71,64.74,40.26,1.22,42.57,21.43,99.13,0.92,180.11274390508322,463.44,0.0,
2021-01-04 14:00:00,49.3,57.3,4.68,20.7,12.98,64.89,27.02,1.37,43.87,21.85,99.13,0.96,180.11274390508322,271.82,0.12,
2021-01-04 15:00:00,52.6,56.98,5.74,26.15,16.69,76.47,16.8,1.81,13.05,21.19,99.32,0.64,180.11274390508322,72.97,0.0,
2021-01-04 16:00:00,50.2,56.73,6.3,33.11,20.77,79.15,41.09,2.0,15.79,19.66,99.71,0.68,180.11274390508322,0.73,1.17,
2021-01-05 08:00:00,,,,,,,,,,,,,180.11274390508322,,,
2021-01-05 09:00:00,,,,,,,,,,,,,180.11274390508322,,0.0,
2021-01-05 10:00:00,26.1,49.05,4.74,31.23,13.69,23.45,8.14,1.8,38.2,7.82,,0.7,180.11274390508322,26.2,0.12,
2021-01-05 11:00:00,80.77,,5.6,26.68,16.85,68.8,10.08,1.7,22.35,15.92,,0.96,180.11274390508322,119.19,0.38,
2021-01-05 12:00:00,90.1,,6.48,26.09,17.25,66.01,14.84,1.69,17.3,16.33,99.84,0.62,180.11274390508322,19.68,1.88,
2021-01-05 13:00:00,26.85,35.45,5.79,25.66,16.47,64.9,33.7,1.03,25.41,15.73,,1.1,180.11274390508322,164.23,0.38,
2021-01-05 14:00:00,17.72,22.85,5.2,17.54,11.75,60.82,16.36,1.97,38.18,16.03,,1.43,180.11274390508322,117.73,0.0,
2021-01-05 15:00:00,,,,,,,,,,,,,180.11274390508322,,0.0,
2021-01-05 16:00:00,9.4,33.4,,31.0,1.17,3.25,,4.28,21.24,,,1.38,180.11274390508322,,0.0,
2021-01-06 08:00:00,47.62,50.55,11.86,32.09,24.73,61.78,18.04,2.1,5.41,13.33,,0.83,180.11274390508322,37.7,0.0,
2021-01-06 09:00:00,56.28,59.6,18.51,34.81,31.52,60.17,20.68,1.74,6.49,14.06,,0.33,180.11274390508322,32.11,0.0,
2021-01-06 10:00:00,61.0,63.9,33.85,36.33,44.71,48.96,12.48,1.46,11.93,14.74,,0.41,180.11274390508322,67.31,0.0,
2021-01-06 11:00:00,83.85,92.25,29.91,50.46,48.9,62.23,29.91,1.26,9.06,15.61,,0.21,180.11274390508322,59.37,0.0,
2021-01-06 12:00:00,101.95,109.68,25.44,54.86,47.6,47.84,13.17,1.32,28.54,15.96,,0.55,180.11274390508322,101.94,0.0,
2021-01-06 13:00:00,121.1,129.25,13.21,35.58,27.64,59.58,31.77,1.37,18.91,17.12,,0.67,180.11274390508322,279.17,0.0,
2021-01-06 14:00:00,119.95,127.88,7.69,36.25,23.53,68.08,19.54,1.62,17.27,18.16,99.63,0.33,180.11274390508322,277.64,0.0,
2021-01-06 15:00:00,115.3,122.32,6.68,38.24,23.75,74.84,16.72,1.85,10.36,18.01,,0.66,180.11274390508322,106.99,0.0,
2021-01-06 16:00:00,108.35,120.9,4.97,35.88,21.15,77.56,25.51,1.58,14.73,17.3,,0.93,180.11274390508322,36.89,0.0,
2021-01-07 08:00:00,85.72,98.43,6.78,30.55,19.82,68.19,19.55,1.81,11.27,14.2,,0.68,180.11274390508322,,0.0,
2021-01-07 09:00:00,91.12,109.5,7.32,34.4,22.27,68.95,22.18,1.47,10.96,14.2,,0.95,180.11274390508322,,0.0,
2021-01-07 10:00:00,94.5,111.82,5.26,34.66,20.74,73.04,13.73,1.39,12.87,14.21,,0.94,180.11274390508322,21.59,0.0,
2021-01-07 11:00:00,95.35,107.53,5.04,29.25,15.68,42.91,10.41,0.92,13.18,11.0,,0.98,180.11274390508322,130.94,0.0,
2021-01-07 12:00:00,95.75,107.52,4.21,32.21,17.96,56.55,20.77,2.97,10.17,,,1.02,180.11274390508322,,0.0,
2021-01-07 13:00:00,95.42,109.72,4.75,30.4,18.1,57.75,31.49,3.84,9.88,,,0.88,180.11274390508322,,0.0,
2021-01-07 14:00:00,95.42,111.38,4.52,28.76,17.06,60.54,11.4,2.8,11.02,,,0.92,180.11274390508322,,0.0,
2021-01-07 15:00:00,93.43,106.57,5.3,27.61,17.09,68.33,12.18,2.05,11.14,3.71,,0.98,180.11274390508322,27.42,0.0,
2021-01-07 16:00:00,89.25,101.28,5.39,28.9,17.84,70.81,24.17,1.42,10.14,14.65,,1.08,180.11274390508322,21.86,0.0,
2021-01-08 08:00:00,29.35,49.2,4.36,25.68,15.32,60.28,5.3,1.08,8.83,8.92,,0.5,180.11274390508322,42.7,0.0,
2021-01-08 09:00:00,27.48,46.75,4.46,27.65,16.44,73.01,6.64,1.06,8.02,9.36,,0.33,180.11274390508322,95.91,0.0,
2021-01-08 10:00:00,26.4,42.92,4.56,26.07,15.69,51.22,2.83,1.29,19.27,9.77,,0.51,180.11274390508322,160.61,0.0,
2021-01-08 11:00:00,31.63,41.7,6.48,25.77,17.08,69.0,3.67,1.31,19.19,10.53,,0.48,180.11274390508322,231.0,0.0,
2021-01-08 12:00:00,,,5.08,26.45,16.3,74.7,,2.41,,11.74,,0.39,180.11274390508322,224.74,0.0,
2021-01-08 13:00:00,,,4.22,24.79,14.75,45.63,13.89,3.51,36.6,12.93,,0.33,180.11274390508322,260.4,0.0,
2021-01-08 14:00:00,93.5,94.3,5.62,22.38,14.62,39.78,12.46,,40.93,14.05,99.7,0.62,180.11274390508322,318.01,0.0,
2021-01-08 15:00:00,79.65,103.05,5.46,23.37,15.0,48.53,16.37,2.07,29.22,14.45,99.63,0.73,180.11274390508322,201.43,0.0,
2021-01-08 16:00:00,57.32,99.92,4.71,24.78,15.14,57.79,27.63,1.23,15.78,14.19,99.63,0.46,180.11274390508322,95.31,0.0,
2021-01-09 08:00:00,98.4,128.6,6.28,28.97,18.59,61.54,34.83,1.43,9.47,11.77,,0.99,180.11274390508322,42.94,0.0,
2021-01-09 09:00:00,104.17,134.68,6.15,32.82,20.5,38.42,43.3,1.22,9.18,12.55,,1.18,180.11274390508322,102.32,0.0,
2021-01-09 10:00:00,112.45,137.17,4.09,31.83,18.32,1.67,36.87,1.38,9.76,14.05,99.63,1.19,180.11274390508322,237.44,0.0,
2021-01-09 11:00:00,111.25,140.1,4.0,30.82,17.64,1.71,34.98,1.6,10.36,15.46,99.63,1.25,180.11274390508322,291.94,0.0,
2021-01-09 12:00:00,101.9,139.22,3.2,28.85,15.96,28.11,28.64,1.98,11.22,16.48,99.62,1.28,180.11274390508322,356.98,0.0,
2021-01-09 13:00:00,107.35,139.18,4.08,28.72,16.68,32.19,27.89,1.39,11.97,17.39,99.44,1.71,180.11274390508322,407.56,0.0,
2021-01-09 14:00:00,113.45,148.5,4.29,27.8,16.37,31.42,21.94,1.73,11.31,16.88,99.63,1.83,180.11274390508322,266.35,0.0,
