From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2021-01-01 08:00:00,60.0,81.75,1.02,42.23,33.41387352465582,17.93,5.63,0.51,46.77,27.02,82.25,1.93,180.11274390508322,,714.0,17.58,
2021-01-01 09:00:00,64.5,89.5,0.53,41.38,33.41387352465582,17.65,5.47,0.48,45.14,26.77,71.5,2.23,180.11274390508322,,714.25,19.3,
2021-01-01 10:00:00,60.75,92.0,0.98,38.88,33.41387352465582,17.65,3.7,0.54,45.07,24.33,65.5,1.77,180.11274390508322,,714.75,20.55,
2021-01-01 11:00:00,61.25,101.25,0.62,30.98,33.41387352465582,15.4,2.3,0.45,45.05,20.47,56.5,2.25,180.11274390508322,,714.0,22.08,
2021-01-01 12:00:00,53.5,90.5,0.55,28.3,33.41387352465582,14.33,3.07,0.42,44.77,19.98,51.5,2.35,180.11274390508322,,713.25,23.75,
2021-01-01 13:00:00,47.25,79.0,0.65,26.4,33.41387352465582,13.45,2.62,0.27,45.15,20.0,50.25,2.52,180.11274390508322,,712.25,24.7,
2021-01-01 14:00:00,49.5,68.5,0.78,27.85,33.41387352465582,14.4,3.17,0.23,43.03,20.75,49.25,2.33,180.11274390508322,,711.5,25.38,
2021-01-01 15:00:00,46.25,72.75,0.93,35.62,33.41387352465582,16.65,2.73,0.31,41.72,26.43,49.75,2.15,180.11274390508322,,711.0,25.55,
2021-01-01 16:00:00,49.5,73.5,0.7,42.82,33.41387352465582,17.0,4.23,0.44,43.33,26.8,50.25,2.12,180.11274390508322,,711.0,25.22,
2021-01-02 08:00:00,59.0,75.5,0.83,42.88,33.41387352465582,18.88,5.4,0.53,44.98,26.95,83.0,1.27,180.11274390508322,,714.5,17.4,
2021-01-02 09:00:00,65.0,95.0,0.8,43.8,33.41387352465582,18.9,5.0,0.57,44.92,26.8,81.0,1.8,180.11274390508322,,715.0,18.3,
2021-01-02 10:00:00,49.75,86.5,0.73,42.2,33.41387352465582,17.18,3.3,0.57,43.09,24.88,68.25,2.05,180.11274390508322,,714.0,20.25,
2021-01-02 11:00:00,40.33,71.67,0.57,32.87,33.41387352465582,14.3,1.7,0.43,45.47,20.2,64.67,2.23,180.11274390508322,,713.67,23.2,
2021-01-02 12:00:00,35.0,63.0,1.0,34.5,33.41387352465582,14.03,1.9,0.51,47.39,19.87,63.67,2.2,180.11274390508322,,712.67,24.0,
2021-01-02 13:00:00,39.67,63.67,0.9,37.23,33.41387352465582,13.57,1.57,0.55,44.66,20.0,65.67,1.97,180.11274390508322,,711.33,24.77,
2021-01-02 14:00:00,45.25,67.5,0.78,39.17,33.41387352465582,15.2,4.4,0.57,43.57,20.7,68.25,1.82,180.11274390508322,,711.0,24.4,
2021-01-02 15:00:00,46.5,71.75,1.05,44.85,33.41387352465582,17.85,4.93,0.66,41.77,26.4,70.0,1.65,180.11274390508322,,710.5,23.38,
2021-01-02 16:00:00,48.33,82.67,0.47,48.67,33.41387352465582,18.73,6.85,0.59,41.67,27.0,70.33,1.37,180.11274390508322,,711.0,22.83,
2021-01-03 08:00:00,46.33,66.33,0.83,37.33,33.41387352465582,16.7,5.47,0.38,26.28,26.9,78.0,1.87,180.11274390508322,,712.0,19.47,
2021-01-03 09:00:00,43.75,66.5,0.85,38.1,33.41387352465582,16.22,6.12,0.39,24.63,26.87,74.5,1.75,180.11274390508322,,712.0,21.25,
2021-01-03 10:00:00,46.0,71.0,0.75,37.45,33.41387352465582,15.75,4.2,0.36,27.48,26.55,70.5,2.0,180.11274390508322,,712.0,22.6,
2021-01-03 11:00:00,38.0,60.0,1.17,30.4,33.41387352465582,13.47,2.3,0.42,26.74,20.37,69.33,1.93,180.11274390508322,,712.0,24.1,
2021-01-03 12:00:00,30.0,58.5,0.95,24.4,33.41387352465582,12.45,2.15,0.32,27.36,20.4,66.5,2.0,180.11274390508322,,710.5,24.8,
2021-01-03 13:00:00,26.0,54.0,0.75,22.75,33.41387352465582,11.7,1.9,0.26,28.62,19.5,61.0,2.15,180.11274390508322,,710.0,25.4,
2021-01-03 14:00:00,27.75,43.25,0.88,22.12,33.41387352465582,11.88,3.0,0.28,25.66,20.45,66.0,2.02,180.11274390508322,,709.0,26.43,
2021-01-03 15:00:00,28.0,45.0,0.5,27.1,33.41387352465582,15.3,2.5,0.35,44.08,27.1,71.0,1.8,180.11274390508322,,709.0,24.8,
2021-01-03 16:00:00,28.0,45.0,0.73,26.97,33.41387352465582,15.13,7.9,0.34,43.61,27.0,70.33,1.77,180.11274390508322,,709.0,24.8,
2021-01-04 08:00:00,37.0,48.5,1.4,35.55,33.41387352465582,14.35,4.2,0.46,21.53,27.0,87.5,2.25,180.11274390508322,,713.0,19.3,
2021-01-04 09:00:00,,,,,33.41387352465582,,,,,,,,180.11274390508322,,,,
2021-01-04 10:00:00,29.67,57.0,0.45,38.43,33.41387352465582,13.87,4.4,0.56,23.25,26.27,78.67,1.97,180.11274390508322,,713.0,19.87,
2021-01-04 11:00:00,26.0,56.5,0.3,28.55,33.41387352465582,11.8,3.45,0.5,32.65,19.55,69.0,1.75,180.11274390508322,,712.0,21.95,
2021-01-04 12:00:00,23.0,56.0,0.45,30.55,33.41387352465582,10.9,2.3,0.48,39.58,19.95,66.5,1.5,180.11274390508322,,711.5,22.9,
2021-01-04 13:00:00,22.0,41.0,0.7,25.4,33.41387352465582,11.05,2.55,0.41,35.48,20.1,68.0,1.35,180.11274390508322,,711.0,23.8,
2021-01-04 14:00:00,26.0,43.0,0.7,25.1,33.41387352465582,11.0,3.2,0.45,39.76,20.2,68.0,1.2,180.11274390508322,,710.0,22.8,
2021-01-04 15:00:00,25.0,47.33,0.83,34.4,33.41387352465582,12.93,4.5,0.56,36.31,26.8,69.33,1.17,180.11274390508322,,710.0,22.47,
2021-01-04 16:00:00,29.5,53.0,1.1,39.0,33.41387352465582,13.5,6.5,0.56,34.67,27.0,72.0,1.25,180.11274390508322,,710.0,22.15,
2021-01-05 08:00:00,34.0,54.0,0.8,37.6,33.41387352465582,13.3,4.1,0.45,24.83,26.9,85.0,1.9,180.11274390508322,,713.0,19.3,
2021-01-05 09:00:00,26.75,52.25,0.93,40.3,33.41387352465582,13.05,5.97,0.58,23.52,26.75,82.25,2.0,180.11274390508322,,714.0,20.42,
2021-01-05 10:00:00,30.0,55.33,0.5,41.53,33.41387352465582,13.4,4.47,0.56,25.23,26.7,75.33,1.77,180.11274390508322,,713.33,21.77,
2021-01-05 11:00:00,30.0,54.25,0.72,35.35,33.41387352465582,12.15,2.57,0.55,27.43,20.35,70.0,1.88,180.11274390508322,,712.5,23.5,
2021-01-05 12:00:00,24.0,55.0,0.77,32.4,33.41387352465582,11.03,1.4,0.48,37.15,20.87,64.67,1.93,180.11274390508322,,712.0,24.7,
2021-01-05 13:00:00,25.5,48.5,0.8,27.3,33.41387352465582,11.55,0.2,0.47,53.27,21.15,64.5,2.15,180.11274390508322,,710.5,26.8,
2021-01-05 14:00:00,20.5,43.5,1.02,23.77,33.41387352465582,11.05,2.43,0.42,47.87,20.65,66.25,1.93,180.11274390508322,,710.0,26.62,
2021-01-05 15:00:00,19.67,42.33,0.77,29.57,33.41387352465582,12.6,3.7,0.43,47.39,25.33,69.67,1.77,180.11274390508322,,710.0,25.97,
