From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),RF (mm),AT (degree C)
2021-01-01 08:00:00,,,,,,,,,,,,,,,,
2021-01-01 09:00:00,,,,,,,,,,,,,,,,
2021-01-01 10:00:00,93.69,186.31,1.54,12.65,7.8,16.0,8.38,0.66,51.66,24.44,59.85,1.25,119.21,243.3,0.0,
2021-01-01 11:00:00,,,,,,,,,,,,,,,,
2021-01-01 12:00:00,76.76,143.28,0.75,8.71,5.03,14.96,20.54,0.54,64.77,27.67,45.61,1.29,115.13,194.93,0.0,
2021-01-01 13:00:00,67.56,116.2,0.68,6.83,4.03,15.46,15.54,0.5,69.44,28.09,43.85,1.47,115.51,234.12,0.0,
2021-01-01 14:00:00,71.27,109.71,0.99,7.32,4.38,15.66,12.95,0.56,72.31,28.64,41.94,1.34,121.38,213.77,0.0,
2021-01-01 15:00:00,63.48,114.43,1.55,6.18,3.45,15.35,11.91,0.57,75.19,28.57,41.75,1.33,123.92,181.75,0.0,
2021-01-01 16:00:00,61.11,102.94,0.84,8.56,4.05,15.37,21.52,0.59,79.72,27.98,43.13,1.05,112.01,170.48,0.0,
2021-01-02 08:00:00,63.59,104.36,2.51,19.12,12.02,13.04,5.02,1.08,12.45,19.43,85.92,0.66,132.31,253.25,0.0,
2021-01-02 09:00:00,86.91,143.69,1.47,18.35,10.73,13.61,13.17,1.06,33.67,21.31,75.56,0.87,126.62,249.1,0.0,
2021-01-02 10:00:00,113.48,187.46,1.84,22.54,12.97,11.79,69.81,0.83,49.16,23.51,66.43,0.82,113.72,249.65,0.0,
2021-01-02 11:00:00,122.2,204.63,1.73,20.53,12.07,13.12,43.16,0.96,67.04,26.32,54.81,0.44,278.24,223.42,0.0,
2021-01-02 12:00:00,108.85,200.3,1.18,13.32,7.12,14.94,31.59,0.69,76.39,28.15,48.02,0.76,143.77,205.65,0.0,
2021-01-02 13:00:00,96.0,178.66,1.19,10.77,6.55,15.13,31.96,0.79,81.0,28.94,45.84,0.95,105.14,230.65,0.0,
2021-01-02 14:00:00,92.52,155.79,1.28,13.22,7.78,14.29,44.31,0.61,78.46,28.99,43.2,1.21,138.81,204.62,0.0,
2021-01-02 15:00:00,85.72,151.38,2.63,15.88,10.15,13.94,71.85,0.75,71.12,29.29,43.99,0.85,101.44,192.35,0.0,
2021-01-02 16:00:00,81.58,139.08,1.26,10.19,6.12,15.45,23.32,0.85,69.74,28.57,47.0,0.93,93.57,181.78,0.0,
2021-01-03 08:00:00,90.69,191.22,9.93,28.59,22.92,10.58,4.0,0.97,11.04,19.32,87.45,0.61,137.85,275.75,0.0,
2021-01-03 09:00:00,97.78,204.39,1.31,16.05,9.0,17.65,16.74,0.73,36.72,21.87,74.88,0.78,133.73,266.4,0.0,
2021-01-03 10:00:00,109.23,190.37,1.23,12.9,7.33,16.85,25.47,0.58,49.93,24.92,62.26,0.66,157.94,250.95,0.0,
2021-01-03 11:00:00,99.07,174.31,1.36,14.17,8.5,15.66,39.58,0.52,62.0,26.98,55.68,0.75,168.75,210.28,0.0,
2021-01-03 12:00:00,85.27,140.69,0.77,13.1,7.15,15.34,31.45,0.53,71.66,28.38,48.17,0.91,184.06,196.05,0.0,
2021-01-03 13:00:00,76.84,121.45,0.62,10.3,5.55,14.88,37.57,0.56,76.67,29.29,42.34,0.9,152.19,219.55,0.0,
2021-01-03 14:00:00,79.58,118.64,1.24,13.91,8.2,13.45,40.53,0.74,76.64,29.59,38.84,1.0,138.83,206.2,0.0,
2021-01-03 15:00:00,67.89,119.94,0.62,13.83,7.52,14.59,38.51,0.78,75.83,29.49,38.06,0.9,121.46,170.23,0.0,
2021-01-03 16:00:00,64.97,118.08,0.72,10.97,6.1,16.66,25.7,0.64,70.94,29.15,39.1,0.79,133.41,142.1,0.0,
2021-01-04 08:00:00,62.27,134.82,1.98,19.12,11.38,13.34,3.76,0.84,19.19,21.31,84.32,0.72,119.18,232.85,0.0,
2021-01-04 09:00:00,92.02,155.67,2.21,14.07,8.97,14.19,16.38,0.71,36.25,23.54,73.69,0.83,125.28,231.85,0.0,
2021-01-04 10:00:00,103.64,154.35,1.72,11.67,7.47,15.84,20.8,0.55,54.21,25.13,65.29,0.91,140.94,224.62,0.0,
2021-01-04 11:00:00,83.7,140.63,0.73,11.49,6.38,15.37,16.67,0.56,64.29,26.88,58.06,1.07,134.31,223.6,0.0,
2021-01-04 12:00:00,68.06,138.02,0.9,11.9,6.68,14.74,38.83,0.67,76.86,28.44,52.49,1.36,128.61,218.75,0.0,
2021-01-04 13:00:00,64.81,131.26,1.73,10.06,6.22,14.93,35.33,0.83,79.22,28.98,50.52,1.3,109.79,232.1,0.0,
2021-01-04 14:00:00,75.32,120.35,0.67,8.74,4.9,15.91,17.95,0.68,74.49,29.43,46.34,1.3,111.88,222.95,0.0,
2021-01-04 15:00:00,71.14,123.08,0.65,8.11,4.6,15.5,15.22,0.69,75.73,29.68,46.13,1.18,117.12,201.12,0.0,
2021-01-04 16:00:00,65.73,117.73,1.15,9.6,5.75,15.23,16.28,0.76,70.44,29.13,46.68,1.0,103.25,177.6,0.0,
2021-01-05 08:00:00,75.24,141.58,6.73,23.92,17.85,10.98,6.26,1.18,13.41,20.73,84.45,1.02,155.64,248.58,0.0,
2021-01-05 09:00:00,88.66,173.68,1.35,13.06,7.75,17.12,13.53,1.22,37.69,23.63,68.42,1.0,167.54,246.97,0.0,
2021-01-05 10:00:00,89.31,161.85,0.98,17.93,10.1,13.8,53.71,0.76,52.07,26.51,55.42,0.74,170.05,231.4,0.0,
2021-01-05 11:00:00,73.4,155.31,1.54,10.89,6.9,16.35,20.38,0.4,63.74,28.05,50.37,1.1,185.17,202.38,0.0,
2021-01-05 12:00:00,68.63,111.16,1.02,8.62,5.12,15.54,17.84,0.47,69.64,29.18,45.51,0.91,177.87,194.1,0.0,
2021-01-05 13:00:00,60.93,97.16,3.54,42.11,24.8,5.21,51.76,0.68,56.3,29.8,41.82,0.91,133.84,220.77,0.0,
2021-01-05 14:00:00,60.46,117.65,2.43,46.39,26.18,6.36,110.35,0.54,54.73,29.88,40.38,0.96,99.15,191.7,0.0,
2021-01-05 15:00:00,59.63,104.61,0.75,10.49,5.88,18.21,33.8,0.5,71.98,29.81,38.98,1.48,143.16,185.17,0.0,
2021-01-05 16:00:00,59.96,95.39,0.78,8.85,5.2,16.74,19.58,0.64,71.8,29.2,42.73,0.95,111.94,170.45,0.0,
2021-01-06 08:00:00,56.22,123.72,2.77,18.96,12.12,13.32,4.34,0.89,11.5,20.95,87.23,0.56,130.15,240.8,0.0,
