From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AT (degree C)
2021-01-01 08:00:00,133.39,206.62,,,,,0.45,1.42,5.52,27.454442202523524,,0.54,180.11274390508322,38.72,,25.85
2021-01-01 09:00:00,134.91,202.53,,,,,0.3,1.39,5.97,27.454442202523524,,0.64,180.11274390508322,76.5,,28.08
2021-01-01 10:00:00,157.78,399.95,,,,,0.21,1.36,4.9,27.454442202523524,,0.58,180.11274390508322,101.3,,31.06
2021-01-01 11:00:00,117.96,197.0,,,,,0.16,1.18,6.17,27.454442202523524,,0.7,180.11274390508322,125.65,,34.69
2021-01-01 12:00:00,94.81,163.6,,,,,0.16,1.16,5.68,27.454442202523524,,0.63,180.11274390508322,151.79,,36.45
2021-01-01 13:00:00,,,,,,,,,,27.454442202523524,,,180.11274390508322,,,
2021-01-01 14:00:00,,,,,,,,,,27.454442202523524,,,180.11274390508322,,,
2021-01-01 15:00:00,,,,,,,,,,27.454442202523524,,,180.11274390508322,,,
2021-01-01 16:00:00,,,,,,,,,,27.454442202523524,,,180.11274390508322,,,
2021-01-02 08:00:00,,,,,,,,,,27.454442202523524,,,180.11274390508322,,,
2021-01-02 09:00:00,,,,,,,,,,27.454442202523524,,,180.11274390508322,,,
2021-01-02 10:00:00,211.76,307.39,17.0,11.97,28.98,10.45,0.12,1.55,5.42,27.454442202523524,,0.6,180.11274390508322,128.25,,31.14
2021-01-02 11:00:00,206.6,316.5,11.21,16.52,27.73,7.34,1.55,1.62,7.88,27.454442202523524,,0.57,180.11274390508322,164.19,,33.59
2021-01-02 12:00:00,181.32,272.47,3.61,26.17,29.77,3.26,0.34,1.59,11.0,27.454442202523524,,0.67,180.11274390508322,181.52,,35.33
2021-01-02 13:00:00,149.84,237.55,3.59,20.09,23.68,3.25,0.25,1.33,11.75,27.454442202523524,,0.82,180.11274390508322,186.11,,35.82
2021-01-02 14:00:00,126.95,219.25,3.67,13.96,17.62,4.48,,1.2,13.32,27.454442202523524,,0.85,180.11274390508322,187.45,,35.53
2021-01-02 15:00:00,117.71,204.12,4.08,19.07,23.15,3.74,,1.22,17.74,27.454442202523524,,0.81,180.11274390508322,116.16,,34.9
2021-01-02 16:00:00,135.22,211.32,3.52,18.11,21.64,4.91,,1.19,16.3,27.454442202523524,,0.76,180.11274390508322,62.89,,33.68
