From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),RF (mm),AT (degree C)
2021-01-01 08:00:00,171.62,280.79,13.71,58.33,58.56,19.68,14.28,1.65,19.06,27.454442202523524,72.97,0.02,180.11274390508322,,982.15,0.0,23.89
2021-01-01 09:00:00,131.19,223.12,9.01,48.06,46.4,22.79,29.92,1.47,40.41,27.454442202523524,67.57,0.06,180.11274390508322,,986.25,0.0,25.44
2021-01-01 10:00:00,135.5,230.33,9.03,45.74,44.52,17.75,1.53,1.29,59.13,27.454442202523524,60.2,0.13,180.11274390508322,,992.65,0.0,27.41
2021-01-01 11:00:00,124.33,216.88,7.96,32.68,33.05,19.79,,1.04,106.45,27.454442202523524,52.02,0.24,180.11274390508322,,998.37,0.0,29.32
2021-01-01 12:00:00,127.15,219.96,7.27,27.89,28.56,22.8,12.9,1.05,146.64,27.454442202523524,47.25,0.02,180.11274390508322,,,0.0,31.13
2021-01-01 13:00:00,151.4,249.31,6.77,24.49,25.39,28.29,80.9,1.07,141.36,27.454442202523524,43.42,0.04,180.11274390508322,,,0.0,31.97
2021-01-01 14:00:00,140.02,234.31,7.67,25.12,26.66,29.38,23.02,1.0,144.83,27.454442202523524,44.1,0.1,180.11274390508322,,,0.0,31.65
2021-01-01 15:00:00,101.87,176.62,5.95,23.17,23.66,27.39,38.13,0.7,115.24,27.454442202523524,45.23,0.09,180.11274390508322,,,0.0,31.06
2021-01-01 16:00:00,71.98,122.36,6.82,31.6,31.23,20.82,0.84,0.8,138.65,27.454442202523524,53.81,0.29,180.11274390508322,,,0.0,29.32
2021-01-02 08:00:00,103.16,169.68,17.12,62.03,64.35,18.23,5.41,1.75,6.4,27.454442202523524,79.09,,180.11274390508322,,983.32,0.0,25.03
2021-01-02 09:00:00,135.93,223.7,11.72,52.2,51.97,15.34,0.5,1.41,10.29,27.454442202523524,80.1,,180.11274390508322,,984.0,0.0,25.71
2021-01-02 10:00:00,162.97,267.18,9.16,48.2,46.64,15.84,1.65,1.34,20.88,27.454442202523524,73.75,0.01,180.11274390508322,,986.5,0.0,27.36
2021-01-02 11:00:00,125.32,207.06,8.1,40.18,39.25,19.47,3.22,1.31,33.21,27.454442202523524,62.93,0.01,180.11274390508322,,991.75,0.0,29.12
