date,valid_count,missing_count,extra_count
2022-09-01,16,0,0
2022-09-02,16,0,0
2022-09-03,16,0,0
2022-09-04,16,0,0
2022-09-05,16,0,0
2022-09-06,16,0,0
2022-09-07,16,0,0
2022-09-08,16,0,0
2022-09-09,16,0,0
2022-09-10,16,0,0
2022-09-11,16,0,0
2022-09-12,16,0,0
2022-09-13,16,0,0
2022-09-14,16,0,0
2022-09-15,16,0,0
2022-09-16,16,0,0
2022-09-17,16,0,0
2022-09-18,16,0,0
2022-09-19,16,0,0
2022-09-20,16,0,0
2022-09-21,16,0,0
2022-09-22,16,0,0
2022-09-23,16,0,0
2022-09-24,16,0,0
2022-09-25,16,0,0
2022-09-26,16,0,0
2022-09-27,16,0,0
2022-09-28,16,0,0
2022-09-29,16,0,0
2022-09-30,16,0,0
2022-10-01,16,0,0
2022-10-02,16,0,0
2022-10-03,16,0,0
2022-10-04,16,0,0
2022-10-05,16,0,0
2022-10-06,16,0,0
2022-10-07,16,0,0
2022-10-08,16,0,0
2022-10-09,16,0,0
2022-10-10,16,0,0
2022-10-11,16,0,0
2022-10-12,16,0,0
2022-10-13,16,0,0
2022-10-14,16,0,0
2022-10-15,16,0,0
2022-10-16,16,0,0
2022-10-17,16,0,0
2022-10-18,16,0,0
2022-10-19,15,1,0
2022-10-20,16,0,0
2022-10-21,16,0,0
2022-10-22,16,0,0
2022-10-23,16,0,82
2022-10-24,16,0,82
2022-10-25,16,0,0
2022-10-26,16,0,0
2022-10-27,14,2,0
2022-10-28,16,0,0
2022-10-29,16,0,0
2022-10-30,16,0,0
2022-10-31,16,0,0
2022-11-01,16,0,0
2022-11-02,16,0,0
2022-11-03,16,0,0
2022-11-04,16,0,0
2022-11-05,16,0,0
2022-11-06,16,0,0
2022-11-07,15,1,0
2022-11-08,16,0,0
2022-11-09,16,0,0
2022-11-10,16,0,0
2022-11-11,16,0,0
2022-11-12,16,0,0
2022-11-13,16,0,0
2022-11-14,16,0,0
2022-11-15,16,0,0
2022-11-16,16,0,0
2022-11-17,16,0,0
2022-11-18,16,0,0
2022-11-19,16,0,0
2022-11-20,16,0,0
2022-11-21,16,0,0
2022-11-22,16,0,0
2022-11-23,16,0,0
2022-11-24,15,1,0
2022-11-25,16,0,0
2022-11-26,16,0,0
2022-11-27,16,0,0
2022-11-28,16,0,0
2022-11-29,16,0,0
2022-11-30,16,0,0
