Station_File_Name,Issue_Type,Notes
DL009.csv,None,"Mean: 96.04, Std: 71.67, Min: 0.24, Max: 670.83, Unique: 4765"
DL011.csv,None,"Mean: 78.35, Std: 60.87, Min: 0.18, Max: 889.56, Unique: 4949"
DL022.csv,None,"Mean: 96.98, Std: 94.80, Min: 1.00, Max: 691.75, Unique: 1215"
DL024.csv,None,"Mean: 72.69, Std: 72.99, Min: 1.00, Max: 420.50, Unique: 477"
DL029.csv,None,"Mean: 92.04, Std: 84.29, Min: 1.00, Max: 797.25, Unique: 1239"
HR001.csv,None,"Mean: 72.99, Std: 67.05, Min: 1.00, Max: 397.00, Unique: 435"
HR002.csv,None,"Mean: 92.27, Std: 71.78, Min: 5.50, Max: 457.70, Unique: 513"
HR003.csv,None,"Mean: 53.30, Std: 39.78, Min: 0.46, Max: 845.90, Unique: 4753"
HR004.csv,None,"Mean: 60.79, Std: 54.12, Min: 0.01, Max: 342.87, Unique: 626"
HR009.csv,None,"Mean: 72.60, Std: 60.92, Min: 0.20, Max: 446.40, Unique: 624"
KA001.csv,None,"Mean: 29.83, Std: 16.68, Min: 2.14, Max: 181.88, Unique: 462"
KA002.csv,None,"Mean: 22.98, Std: 8.73, Min: 0.91, Max: 66.66, Unique: 233"
KA007.csv,None,"Mean: 22.46, Std: 13.34, Min: 2.00, Max: 73.00, Unique: 207"
KA015.csv,None,"Mean: 22.23, Std: 8.73, Min: 3.00, Max: 57.39, Unique: 611"
KA018.csv,None,"Mean: 24.86, Std: 17.30, Min: 2.25, Max: 127.33, Unique: 252"
MH004.csv,None,"Mean: 33.26, Std: 39.58, Min: 1.00, Max: 591.00, Unique: 316"
MH007.csv,None,"Mean: 30.27, Std: 17.60, Min: 0.47, Max: 96.33, Unique: 449"
MH012.csv,None,"Mean: 37.26, Std: 16.77, Min: 3.31, Max: 85.00, Unique: 432"
MH026.csv,None,"Mean: 44.48, Std: 39.44, Min: 2.34, Max: 328.59, Unique: 639"
MH033.csv,None,"Mean: 38.31, Std: 26.96, Min: 2.65, Max: 186.43, Unique: 645"
