State,City,Station Name,latitude,longitude
Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488
Assam,Guwahati,"IITG, Guwahati - PCBA",26.2028636,91.70046436
Assam,Guwahati,"IITG, Guwahati - PCBA",26.2028636,91.70046436
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26.181742,91.78063
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26.349082,92.68449
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26.349082,92.68449
Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26.446912,91.439057
Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13.20488,79.097889
Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187
Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187
Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187
Assam,Silchar,"Tarapur, Silchar - PCBA",24.82827,92.79525
Assam,Silchar,"Tarapur, Silchar - PCBA",24.82827,92.79525
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.987634,94.636574
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.987634,94.636574
Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176
Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176
Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.536107,80.594233
Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.536107,80.594233
Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222
Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.554731,80.64911
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",24.75746,84.366208
Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",25.42742023,86.13886079
Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667
Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027
Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667
Bihar,Arrah,"New DM Office, Arrah - BSPCB",25.5626095,84.663264
